,name,SVM,tree,nb
1,CM1.arff,0.5864274193548387,0.5657876344086022,0.44510080645161293
2,JM1.arff,0.6903996352548769,0.5949248742094146,0.3791161399818766
3,KC1.arff,0.8114974089831855,0.6210018585324777,0.44940302015585293
4,KC3.arff,0.5381112132352941,0.6256066176470588,0.4711917892156863
5,MC1.arff,0.9171829506421366,0.8045451827948288,0.3041561729362944
6,MC2.arff,0.5342777777777777,0.6195416666666667,0.5764201388888889
7,MW1.arff,0.523052536231884,0.589453502415459,0.4882820048309179
8,PC1.arff,0.6272077541161392,0.6252457359755497,0.34929791481810113
9,PC2.arff,0.8965047770700636,0.5322111301649518,0.4852966274701943
10,PC3.arff,0.7005988455988457,0.6468022425420384,0.49431435344700647
11,PC4.arff,0.6732729130569994,0.7281487851482501,0.48318126453122445
12,PC5.arff,0.9700597660902537,0.7348987016679838,0.20430969628363688
