,name,log2D,SVM,tree,nb
1,CM1.arff,6,0.5576451612903226,0.4961478494623656,0.38238844086021506
2,JM1.arff,5,0.6675134583042334,0.5662707816031978,0.3712714770120866
3,KC1.arff,5,0.7981115664115925,0.5271977737165022,0.4407297194113099
4,KC3.arff,6,0.5157904411764707,0.5330989583333333,0.47273897058823533
5,MC1.arff,6,0.8804181680390609,0.8112091376901513,0.6709705630694425
6,MC2.arff,6,0.5338194444444444,0.5520694444444445,0.6011180555555556
7,MW1.arff,6,0.5131853864734299,0.6145833333333334,0.4178109903381643
8,PC1.arff,6,0.560062629399586,0.567280045351474,0.31155237602287295
9,PC2.arff,6,0.8837767434264251,0.5144543116119549,0.3258476237138658
10,PC3.arff,6,0.6306164413817477,0.6037578039873959,0.5068995715169183
11,PC4.arff,6,0.6245920618680632,0.5579236889122348,0.4201077412172386
12,PC5.arff,6,0.9510261653159858,0.6133271620143215,0.19612663173885608
