,SVM,feature,nb,size,tree,
0,0.576594086,HALSTEAD_EFFORT,0.5,"(344, 1)",0.5995,0.588047043
1,0.577,HALSTEAD_PROG_TIME,0.381255376,"(344, 2)",0.601193548,0.589096774
2,0.545037634,HALSTEAD_VOLUME,0.452192204,"(344, 3)",0.566435484,0.555736559
3,0.546729839,HALSTEAD_LENGTH,0.42930914,"(344, 4)",0.52572043,0.536225134
4,0.546391129,NUM_OPERATORS,0.417956989,"(344, 5)",0.50402957,0.525210349
5,0.557322581,NUMBER_OF_LINES,0.359932796,"(344, 6)",0.484217742,0.520770161
6,0.559569892,NUM_OPERANDS,0.37781586,"(344, 7)",0.495061828,0.52731586
7,0.559612903,HALSTEAD_CONTENT,0.376766129,"(344, 8)",0.496758065,0.528185484
8,0.561623656,LOC_TOTAL,0.37199328,"(344, 9)",0.512604839,0.537114247
9,0.561693548,LOC_COMMENTS,0.468579301,"(344, 10)",0.539537634,0.550615591
10,0.563258065,LOC_EXECUTABLE,0.408971774,"(344, 11)",0.547916667,0.555587366
11,0.566897849,NUM_UNIQUE_OPERANDS,0.414192204,"(344, 12)",0.545731183,0.556314516
12,0.567392473,LOC_BLANK,0.407541667,"(344, 13)",0.534336022,0.550864247
13,0.557231183,PERCENT_COMMENTS,0.391251344,"(344, 14)",0.538400538,0.54781586
14,0.558354839,EDGE_COUNT,0.406577957,"(344, 15)",0.533916667,0.546135753
15,0.560123656,HALSTEAD_DIFFICULTY,0.427067204,"(344, 16)",0.54630914,0.553216398
16,0.561301075,NODE_COUNT,0.438576613,"(344, 17)",0.544053763,0.552677419
17,0.561672043,CONDITION_COUNT,0.460919355,"(344, 18)",0.537319892,0.549495968
18,0.559467742,NUM_UNIQUE_OPERATORS,0.43725672,"(344, 19)",0.564709677,0.56208871
19,0.559623656,LOC_CODE_AND_COMMENT,0.447397849,"(344, 20)",0.575903226,0.567763441
20,0.562268817,BRANCH_COUNT,0.442850806,"(344, 21)",0.571448925,0.566858871
21,0.567080645,MULTIPLE_CONDITION_COUNT,0.46931586,"(344, 22)",0.588510753,0.577795699
22,0.566123656,DECISION_COUNT,0.458352151,"(344, 23)",0.568526882,0.567325269
23,0.556180108,CALL_PAIRS,0.452755376,"(344, 24)",0.589494624,0.572837366
24,0.554883065,CYCLOMATIC_COMPLEXITY,0.451626344,"(344, 25)",0.576725806,0.565804435
25,0.555978495,DESIGN_COMPLEXITY,0.452483871,"(344, 26)",0.561120968,0.558549731
26,0.555994624,MODIFIED_CONDITION_COUNT,0.422869624,"(344, 27)",0.577287634,0.566641129
27,0.561013441,PARAMETER_COUNT,0.454169355,"(344, 28)",0.575516129,0.568264785
28,0.560086022,HALSTEAD_ERROR_EST,0.45261828,"(344, 29)",0.570922043,0.565504032
29,0.559423387,CYCLOMATIC_DENSITY,0.460200269,"(344, 30)",0.587744624,0.573584005
30,0.558802419,MAINTENANCE_SEVERITY,0.476461022,"(344, 31)",0.605056452,0.581929435
31,0.564587366,NORMALIZED_CYLOMATIC_COMPLEXITY,0.448619624,"(344, 32)",0.586223118,0.575405242
32,0.568827957,DESIGN_DENSITY,0.458737903,"(344, 33)",0.567139785,0.567983871
33,0.573739247,ESSENTIAL_COMPLEXITY,0.467705645,"(344, 34)",0.577642473,0.57569086
34,0.571768817,HALSTEAD_LEVEL,0.467700269,"(344, 35)",0.572489247,0.572129032
35,0.578981183,ESSENTIAL_DENSITY,0.442356183,"(344, 36)",0.580658602,0.579819892
36,0.58483871,DECISION_DENSITY,0.455290323,"(344, 37)",0.582610215,0.583724462
